structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q72509084,O=CC(=CC)C,1115-11-3
http://www.wikidata.org/entity/Q82948018,C=1C=C(C)C(C)C(C1)(C)C,514-94-3
http://www.wikidata.org/entity/Q105145464,CC(=O)/C=C/C=C(\C)/C,16647-04-4
http://www.wikidata.org/entity/Q15632818,CC1=CC=CS1,554-14-3
http://www.wikidata.org/entity/Q409554,CC(C)CC=O,590-86-3
http://www.wikidata.org/entity/Q423133,CSC,75-18-3
http://www.wikidata.org/entity/Q22028562,C=CC1=CC=CO1,1487-18-9
http://www.wikidata.org/entity/Q27162020,CC(=O)CS,24653-75-6
http://www.wikidata.org/entity/Q105522,C12=C(NC(=O)N1)NC(=O)NC2=O,69-93-2
http://www.wikidata.org/entity/Q20735709,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,541-15-1
http://www.wikidata.org/entity/Q10860583,C[N+](C)(C)CC(=O)[O-],107-43-7
http://www.wikidata.org/entity/Q27092828,CC(=O)N[C@@H](CCSC)C(=O)O,65-82-7
http://www.wikidata.org/entity/Q32030210,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,7512-17-6
http://www.wikidata.org/entity/Q3065731,CC1=NC=C(C(=C1O)C=O)CO,66-72-8
http://www.wikidata.org/entity/Q27104306,C[N+]1(CCC[C@H]1C(=O)[O-])C,471-87-4
http://www.wikidata.org/entity/Q27143934,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,3918-94-3
http://www.wikidata.org/entity/Q32039197,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O,643-13-0
http://www.wikidata.org/entity/Q28529699,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O,28319-77-9
http://www.wikidata.org/entity/Q210021,C(CC(=O)O)CN,56-12-2
http://www.wikidata.org/entity/Q199678,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,50-81-7
http://www.wikidata.org/entity/Q192423,C1=CC(=CN=C1)C(=O)N,98-92-0
http://www.wikidata.org/entity/Q27144738,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CCCCN)N,7369-79-1
http://www.wikidata.org/entity/Q27094301,CC(=O)N1CCC[C@H]1C(=O)O,68-95-1
http://www.wikidata.org/entity/Q82075414,O=C(O)C(NC(=O)C(N)C(C)C)C,1115-74-8
http://www.wikidata.org/entity/Q421383,C1CC(=O)N[C@H]1C(=O)O,4042-36-8
http://www.wikidata.org/entity/Q27116711,C1[C@@]([C@@]([C@](C[C@]1(C(=O)O)O)(O)[H])(O)[H])(O)[H],36413-60-2
http://www.wikidata.org/entity/Q3266683,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,16290-07-6
